id,0,Docs
a6984c3ae395090e3bee8ad63c3758b110de096d5d819583a784a113726db849,sociedade empresaria limitada entidades empresariais industria construcao construcao civil construcao edificios construcao leste potiguar,sociedade empresaria limitada entidades empresariais industria construcao construcao civil construcao edificios construcao leste potiguar
6178f41ade1365e44bc2c46654c2c8c0eaae27dcb476c47fdef50b33f4f56f05,empresario individual outros servicos alojamento alimentacao servico alimentacao alojamento alimentacao centro norte piauiense,empresario individual outros servicos alojamento alimentacao servico alimentacao alojamento alimentacao centro norte piauiense
4a7e5069a397f12fdd7fd57111d6dc5d3ba558958efc02edc5147bc2a2535b08,empresario individual outros transporte armazenagem correio servico transporte terrestre transporte armazenagem correio centro amazonense,empresario individual outros transporte armazenagem correio servico transporte terrestre transporte armazenagem correio centro amazonense
3348900fe63216a439d2e5238c79ddd46ede454df7b9d8c24ac33eb21d4b21ef,empresario individual outros servicos diversos servico reparacao manutencao equipamentos informatica comunicacao objetos pessoais domesticos outras atividades servicos centro amazonense,empresario individual outros servicos diversos servico reparacao manutencao equipamentos informatica comunicacao objetos pessoais domesticos outras atividades servicos centro amazonense
1f9bcabc9d3173c1fe769899e4fac14b053037b953a1e4b102c769f7611ab29f,empresario individual outros servicos profissionais tecnicos cientificos servico servicos arquitetura engenharia testes analises tecnicas atividades profissionais cientificas tecnicas leste potiguar,empresario individual outros servicos profissionais tecnicos cientificos servico servicos arquitetura engenharia testes analises tecnicas atividades profissionais cientificas tecnicas leste potiguar
529a1f5fc6f88071db7d38492a0ce7c985c77e9b1c3bb62f5bd2ebec4860a392,sociedade empresaria limitada entidades empresariais quimica-petroquimica industria fabricacao produtos minerais nao metalicos industrias transformacao oeste potiguar,sociedade empresaria limitada entidades empresariais quimica-petroquimica industria fabricacao produtos minerais nao metalicos industrias transformacao oeste potiguar
8bf37c178778e537b108e58bf20552abe10c3a7fae129b04b52506188e7176da,empresario individual outros transporte armazenagem correio servico transporte terrestre transporte armazenagem correio norte maranhense,empresario individual outros transporte armazenagem correio servico transporte terrestre transporte armazenagem correio norte maranhense
0114fd3fbdc347c561843cde6aece12e8e53cb5d32c77dd2d5cb382605b7be79,empresario individual outros servicos administrativos servico agencias viagens operadores turisticos servicos reservas atividades administrativas servicos complementares leste potiguar,empresario individual outros servicos administrativos servico agencias viagens operadores turisticos servicos reservas atividades administrativas servicos complementares leste potiguar
6c45aabb849a760a3a7107c7a61262642f683feb8912a41a859f69fe4ce02b1c,cooperativa entidades empresariais bens consumo industria fabricacao produtos diversos industrias transformacao centro amazonense,cooperativa entidades empresariais bens consumo industria fabricacao produtos diversos industrias transformacao centro amazonense
2fcd678d71b04ccb77644fff57706bdc7fcfbbec6b19267e6600f46121b726e8,empresario individual outros comercio varejista comercio comercio varejista comercio reparacao veiculos automotores motocicletas oeste potiguar,empresario individual outros comercio varejista comercio comercio varejista comercio reparacao veiculos automotores motocicletas oeste potiguar
5e88eba292754550f48fb752318a0ebbbf8c46e8480531897ab51cf4ea211c1f,empresario individual outros comercio varejista comercio comercio varejista comercio reparacao veiculos automotores motocicletas oeste potiguar,empresario individual outros comercio varejista comercio comercio varejista comercio reparacao veiculos automotores motocicletas oeste potiguar
